Categoria,Item,Cantidad,Precio_unit_CLP,Vida_util_meses
Equipamiento,Horno de piso (3 camaras),1,4640990,60
Equipamiento,Amasadora (20 kg ideal),1,836990,60
Equipamiento,Batidora (10 lt),1,492990,60
Equipamiento,Carro Escabiladero 40Ax60L,2,156670,60
Equipamiento,Bandeja de Horno 40Ax60L,20,24990,60
Equipamiento,Bandeja de Horno hotelera 40Ax60L,10,8550,60
Equipamiento,Bandeja de Horno microperforada,2,12000,60
Equipamiento,Congelador Industrial,1,1224486,60
Equipamiento,Refrigerador Industrial,1,849990,60
Equipamiento,Mesa de trabajo (min 1Ax2L),1,214176,60
Equipamiento,Tabla a la medida (min 1Ax2L),1,200000,60
Equipamiento,Vitrina fria,1,770000,60
Equipamiento,Vitrina,1,300000,60
Equipamiento,Estante Panera,1,200000,60
Equipamiento,Caja,1,50000,60
Equipamiento,Hervidor (3Lt),1,19000,60
Equipamiento,Microondas,1,49990,60
Equipamiento,Cocinilla Electrica,1,46990,60
Equipamiento,Laminadora,1,3129990,60
Equipamiento,Rebanadora de pan,1,590000,60
Equipamiento,Sobadora,1,1499000,60
Equipamiento,Cafetera La Rocca Venezia,1,4100000,60
Equipamiento,Molinillo para café Melitta Calibra,1,175042,60
Equipamiento,Panini,1,199990,60
